100 1000
0 3 41
0 37 40
1 6 53
0 34 42
1 13 64
1 16 62
1 31 62
0 62 85
0 27 88
0 21 80
1 70 82
0 64 69
0 26 40
0 2 74
0 5 13
1 5 56
0 5 95
0 43 72
1 37 44
1 13 92
1 38 76
1 74 74
1 29 52
1 58 81
1 24 80
0 36 36
1 11 95
1 41 60
0 32 59
0 87 87
1 31 97
0 14 82
1 23 100
1 45 54
0 40 66
0 13 17
1 20 30
0 1 75
0 42 57
0 87 97
0 21 24
1 25 53
0 42 65
1 44 91
0 20 72
0 23 24
1 13 75
0 54 68
0 47 93
1 8 50
1 32 100
1 51 100
1 19 86
0 45 93
0 29 45
1 37 38
0 48 70
1 9 10
1 30 56
1 1 91
0 57 86
1 52 56
0 89 97
0 11 38
1 49 85
0 57 90
0 76 92
0 29 39
0 4 58
0 13 31
0 75 94
0 58 97
0 35 77
0 10 30
1 29 70
1 64 69
0 21 61
0 41 89
1 2 93
0 37 83
0 67 87
0 34 92
0 74 80
0 84 99
0 39 52
1 36 48
1 51 65
0 18 64
1 40 89
0 49 97
1 64 91
0 27 97
0 20 38
0 3 10
0 48 98
0 17 67
0 1 54
1 18 69
0 39 68
1 71 77
0 2 3
1 16 89
1 85 99
1 35 37
0 19 44
0 13 27
0 37 65
0 52 62
1 30 91
1 23 46
1 53 86
0 80 84
0 71 90
0 42 65
1 27 71
1 58 59
0 18 21
0 27 42
0 22 69
1 48 68
1 82 89
1 36 94
1 30 42
0 88 89
1 29 85
1 5 81
1 27 71
1 73 88
1 27 62
1 25 60
0 11 42
0 12 80
0 48 68
0 79 86
1 14 71
1 65 74
1 69 98
1 68 82
1 7 12
1 25 48
1 38 63
1 47 70
1 22 38
1 21 65
0 23 94
0 2 98
1 43 43
1 32 98
1 43 83
1 57 64
1 13 96
0 50 93
0 5 75
1 14 31
0 90 98
1 38 48
1 18 66
0 48 71
0 50 88
0 4 63
1 35 96
0 15 18
0 60 86
0 27 49
0 34 84
0 14 30
1 53 94
0 77 95
0 51 100
0 12 91
0 6 77
0 23 86
1 18 77
1 72 81
1 65 77
1 4 10
1 53 79
1 31 71
1 23 40
0 43 51
0 3 50
1 20 96
1 19 76
0 1 10
0 38 48
1 6 32
0 12 13
1 3 99
0 25 83
0 13 54
1 71 87
1 28 92
1 89 92
1 6 55
0 4 14
0 2 46
1 63 77
1 73 76
1 57 80
1 29 75
1 4 87
1 42 89
1 48 57
0 81 88
0 49 66
0 48 62
1 50 81
0 33 75
0 40 47
1 67 83
1 4 11
0 53 60
1 6 30
0 47 57
0 14 73
1 53 84
1 50 66
0 33 41
1 1 53
1 16 65
1 41 46
1 50 70
1 53 58
0 37 50
0 22 33
0 47 81
1 47 88
1 38 57
0 34 55
0 4 46
1 26 92
0 1 48
1 75 82
1 25 83
1 37 70
0 22 71
0 26 26
1 27 66
1 5 60
0 58 88
0 17 26
0 74 100
0 18 46
0 11 70
1 30 32
0 14 16
0 66 100
0 47 61
0 48 52
1 7 20
1 48 97
1 23 59
1 47 56
0 33 67
1 30 63
0 49 84
0 71 88
1 61 95
1 39 60
1 44 87
0 2 68
0 81 86
0 64 66
1 2 53
0 6 59
1 50 66
0 47 66
1 65 86
1 57 87
0 58 88
1 12 84
0 44 75
1 44 90
0 25 87
1 47 87
1 15 74
1 22 91
0 6 30
1 32 34
1 12 79
0 25 87
1 63 77
1 2 95
1 21 46
0 3 25
0 45 93
1 14 79
0 29 46
1 51 58
1 19 57
0 41 53
1 63 98
0 67 70
0 36 80
0 22 44
1 2 76
0 87 87
1 11 26
0 7 82
1 16 81
1 8 51
0 29 72
1 29 55
1 22 90
0 14 53
1 61 85
0 27 51
1 45 60
0 1 81
1 21 75
0 19 55
0 20 37
0 41 68
1 49 87
1 55 77
1 49 78
0 24 87
0 54 71
1 21 82
0 75 90
0 16 25
1 20 72
0 12 58
1 3 78
0 44 71
0 51 83
1 36 99
1 30 54
1 66 67
0 15 22
1 45 63
0 53 84
1 4 64
0 30 45
0 54 57
1 39 88
0 12 37
1 2 55
0 72 96
1 33 50
1 28 33
0 2 9
1 4 12
0 1 96
1 4 14
1 72 93
0 45 46
1 18 97
1 32 78
1 41 70
0 30 44
0 74 84
0 76 83
1 23 32
1 37 41
1 13 41
0 48 48
0 52 71
1 10 30
0 18 52
1 31 98
0 16 24
0 4 22
1 37 43
0 21 39
0 24 52
1 17 100
1 25 55
1 35 55
1 7 81
0 36 90
0 54 54
1 69 93
0 70 86
1 30 40
1 83 98
1 60 86
1 18 61
1 75 97
1 25 76
0 21 86
1 43 64
0 56 70
1 74 80
0 44 78
0 29 30
0 14 77
0 15 15
1 53 68
0 19 56
0 50 58
0 61 97
1 56 71
1 5 26
0 50 92
1 83 92
0 6 61
0 5 41
1 56 94
1 47 52
1 41 94
1 22 81
1 1 49
1 21 77
1 18 20
1 39 82
0 21 66
1 54 54
1 43 79
0 29 43
0 35 82
0 30 56
1 3 37
1 11 44
0 20 66
1 45 45
0 11 71
0 41 99
0 37 45
1 10 56
1 30 57
1 10 64
0 36 46
